===== V4 =====
direto_de[0x470a2608fa72f823d4C32Bf32f3ea318fb995c6E] wallet=0x9238A0768BbB49363d3F92a218fA14d075849e7E referrer=0x470a2608fa72f823d4C32Bf32f3ea318fb995c6E stakes=0
direto_de[0x470a2608fa72f823d4C32Bf32f3ea318fb995c6E] wallet=0x629BF138E1733F097C2Df0606514c24D2f7c8E6B referrer=0x470a2608fa72f823d4C32Bf32f3ea318fb995c6E stakes=0
direto_de[0x470a2608fa72f823d4C32Bf32f3ea318fb995c6E] wallet=0xa5B8295c2a4AC31D131A8bf68Ae997EA3bF42Ce2 referrer=0x470a2608fa72f823d4C32Bf32f3ea318fb995c6E stakes=0
direto_de[0x470a2608fa72f823d4C32Bf32f3ea318fb995c6E] wallet=0x81721600F91F2453b63aEd766C32f16E967C095F referrer=0x470a2608fa72f823d4C32Bf32f3ea318fb995c6E stakes=0
direto_de[0x470a2608fa72f823d4C32Bf32f3ea318fb995c6E] wallet=0xCCbe2227f521C80D5C197618eDcee0fBb8C2365d referrer=0x470a2608fa72f823d4C32Bf32f3ea318fb995c6E stakes=0
direto_de[0x470a2608fa72f823d4C32Bf32f3ea318fb995c6E] wallet=0xb8D4cee77d0D818D94b344B05fC9F47882EEEBCB referrer=0x470a2608fa72f823d4C32Bf32f3ea318fb995c6E stakes=0
direto_de[0x11B9aF1e89C2c51aB39be59Ea248Cb6a495Cb84e] wallet=0x301892e42aE40327856bb676B1e7c2e4C4B7392c referrer=0x11B9aF1e89C2c51aB39be59Ea248Cb6a495Cb84e stakes=1
direto_de[0x28c438cb3Ab95B6dEE755A3f3570943b52C7b0F4] wallet=0x3A23c096eab6bB2Fc09921eb22998Ae37E9C2F7b referrer=0x28c438cb3Ab95B6dEE755A3f3570943b52C7b0F4 stakes=1
direto_de[0x28c438cb3Ab95B6dEE755A3f3570943b52C7b0F4] wallet=0x22b057604bce4b807CeD6172Dd5B9eB7c18777F3 referrer=0x28c438cb3Ab95B6dEE755A3f3570943b52C7b0F4 stakes=0
TOTAL_REGISTRADOS_V4=37 (além do owner)
===== V5 =====
direto_de[0x77619322427f006b14DA3Dbb25F9eb420372f7c7] wallet=0xFfAF2525F659aC7Da49dfCd4D15b12eFc578539c referrer=0x77619322427f006b14DA3Dbb25F9eb420372f7c7 stakes=1
